id,x0,x1
0,0.01385819,0.00574025
1,0.04097619,0.01857045
2,0.08080064,0.03952311
3,0.13284052,0.06938697
4,0.19668572,0.10874164
5,0.27198591,0.15803548
6,0.35898358,0.21682667
7,0.45858506,0.28375609
8,0.56996207,0.36004607
9,0.69277478,0.44616830
10,0.82646541,0.54287308
11,0.97286522,0.65267334
12,1.13187969,0.77561803
13,1.30329467,0.91191882
14,1.48700879,1.06164564
15,1.68297805,1.22480522
16,1.88907627,1.40383740
17,2.10162289,1.60259589
18,2.31240192,1.81183547
19,2.51919967,2.02501073
20,2.72251016,2.24151441
21,2.92204957,2.46149855
22,3.11529015,2.68703586
23,3.30098722,2.91882369
24,3.47906321,3.15651665
25,3.65098294,3.39869965
26,3.82022938,3.64275834
27,3.98729674,3.88831382
28,4.15730908,4.13183960
29,4.32960902,4.37375226
30,4.50568749,4.61292870
31,4.68772089,4.84760474
32,4.87535324,5.07782876
33,5.07000709,5.30214746
34,5.27069560,5.52108380
35,5.47693454,5.73479973
36,5.68804199,5.94370796
37,5.90337110,6.14826204
38,6.12272729,6.34849157
39,6.34967505,6.54007370
40,6.58233538,6.72467643
41,6.81767703,6.90584847
42,7.05358668,7.08628028
43,7.28892833,7.26745232
44,7.52369965,7.44936281
45,7.75789832,7.63200996
46,7.99161803,7.81526962
47,8.22514569,7.99877392
48,8.45896131,8.18191118
49,8.68452084,8.35611766
50,8.89702517,8.51776824
51,9.09614665,8.66727288
52,9.28166957,8.80490371
53,9.45339830,8.93091261
54,9.61121661,9.04544812
55,9.75495539,9.14873491
56,9.88451247,9.24090847
57,9.99974408,9.32216531
58,10.10052440,9.39268004
59,10.18674507,9.45260497
60,10.26078272,9.50377553
61,10.32753694,9.54965444
62,10.38695930,9.59031132
63,10.44150774,9.62746597
64,10.49116787,9.66113899
65,10.53590953,9.69137446
66,10.57821034,9.71986377
67,10.61556090,9.74496230
68,10.59893107,9.73807400
69,10.56599759,9.72353487
70,10.51685187,9.70115859
71,10.45133987,9.67128924
72,10.36915916,9.63459687
73,10.27006413,9.59165300
74,10.15437471,9.54173349
75,10.02282416,9.48316341
76,9.88791337,9.41759605
77,9.75627864,9.34567737
78,9.62846476,9.26716870
79,9.50484583,9.18220776
80,9.38569954,9.09108059
81,9.27138400,8.99396232
