id,x0,x1
0,0.01385819,0.00574025
1,0.04097619,0.01857045
2,0.08080064,0.03952311
3,0.13284052,0.06938697
4,0.19668572,0.10874164
5,0.27198591,0.15803548
6,0.35898358,0.21682667
7,0.45858506,0.28375609
8,0.56996207,0.36004607
9,0.69277478,0.44616830
10,0.82646541,0.54287308
11,0.97286522,0.65267334
12,1.13187969,0.77561803
13,1.30329467,0.91191882
14,1.48700879,1.06164564
15,1.68297805,1.22480522
16,1.88700034,1.40619956
17,2.09352121,1.61121207
18,2.29144271,1.83265299
19,2.47931605,2.06268040
20,2.65851016,2.29953155
21,2.83004925,2.54198431
22,3.00006160,2.78551009
23,3.17475960,3.02569669
24,3.35887465,3.25874315
25,3.55258717,3.48387524
26,3.75498899,3.70122864
27,3.96642433,3.90980501
28,4.18557072,4.11026413
29,4.41321914,4.30101317
30,4.64461754,4.48719529
31,4.88043269,4.66775059
32,5.11709606,4.84719263
33,5.35272200,5.02799477
34,5.58711181,5.21039657
35,5.81967546,5.39512111
36,6.05058564,5.58190838
37,6.28002169,5.77050345
38,6.50816871,5.96065585
39,6.73521676,6.15211912
40,6.95943351,6.34689040
41,7.17931314,6.54654497
42,7.39389108,6.75188690
43,7.60324099,6.96255634
44,7.80970363,7.17605618
45,8.01391922,7.39170634
46,8.21745632,7.60799699
47,8.42291057,7.82246739
48,8.63104365,8.03433910
49,8.83211127,8.23206571
50,9.02341970,8.41399176
51,9.20423780,8.58078748
52,9.37399397,8.73299405
53,9.53216998,8.87112570
54,9.67823320,8.99574326
55,9.81183674,9.10721565
56,9.93260753,9.20595984
57,10.04021651,9.29235606
58,10.13437670,9.36674598
59,10.21484140,9.42943116
60,10.28618578,9.48429443
61,10.35065339,9.53333450
62,10.40818538,9.57662503
63,10.46110946,9.61605905
64,10.50935332,9.65173158
65,10.55289018,9.68367750
66,10.59410291,9.71371932
67,10.57747308,9.70683102
68,10.54450923,9.69236090
69,10.49527021,9.67019068
70,10.42957183,9.64073354
71,10.34710547,9.60468773
72,10.24767622,9.56252347
73,10.13177871,9.51308900
74,9.99998398,9.45507047
75,9.86493617,9.38978581
76,9.73322619,9.31800501
77,9.60541231,9.23949634
78,9.48183789,9.15447069
79,9.36278709,9.06321880
80,9.24862424,8.96592109
81,9.13799727,8.86462117
